ward,type,location,year,est_cost,id,address,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
29,Sidewalk Menu,2700 N NORDICA AVE,2021,38708.98,25483,2700 N NORDICA AVE,census,"c(-87.8027628899999, 41.929093004)",29038,38,3707214.02464,11684.738049,29
36,Alley Speed Hump Menu,2700 N RUTHERFORD AVE,2016,350,31858,2700 N RUTHERFORD AVE,census,"c(-87.794197721, 41.9292234060001)",36019,19,2861528.66151,7287.46396565,36
43,In-Road State Law Stop For Pedestrians Signs Menu,2700 N STOCKTON DR,2016,350,37823,2700 N STOCKTON DR,census,"c(-87.6388042459999, 41.9305732510001)",43032,32,17440892.3372,29608.1157954,43
43,In-Road State Law Stop For Pedestrians Signs Menu,2700 N STOCKTON DR,2018,350,37934,2700 N STOCKTON DR,census,"c(-87.6388042459999, 41.9305732510001)",43032,32,17440892.3372,29608.1157954,43
22,Alley Resurfacing Menu,2700 S CENTRAL PARK AVE,2017,34944.86,18905,2700 S CENTRAL PARK AVE,census,"c(-87.7147446499999, 41.842407065)",22025,25,2222487.12237,5999.44565066,22
11,POD Camera,2700 S SHIELDS AVE,2017,27011,9074,2700 S SHIELDS AVE,census,"c(-87.635468469, 41.8439079170001)",11014,14,1314779.37308,5500.93547003,11
1,Bollard Menu,2700 W CORTEZ ST,2009,1428,314,2700 W CORTEZ ST,census,"c(-87.694366442, 41.900227951)",01018,18,1094811.09775,4314.36900482,1
1,Alley Resurfacing Menu,2700 W CORTEZ ST,2019,27417.515,835,2700 W CORTEZ ST,census,"c(-87.694366442, 41.900227951)",01018,18,1094811.09775,4314.36900482,1
1,Guardrail Menu,2700 W GEORGE ST,2005,2091,20,2700 W GEORGE ST,google,"c(-87.6952467, 41.933915)",33019,19,2874832.38513,7593.30174538,33
40,Bus Pad,2700 W LAWRENCE AVE,2018,36330.39,35313,2700 W LAWRENCE AVE,google,"c(-87.6966877, 41.9686881)",40006,6,1238133.9082,5314.83264694,40
33,Wilson Mural,2700 W WILSON AVE,2017,5000,29213,2700 W WILSON AVE,google,"c(-87.6960682, 41.9647969)",47040,40,1828661.42473,8369.24964955,47
7,POD Camera: 2701 E 74th St,2701 E 74TH ST,2019,24776,5646,2701 E 74TH ST,census,"c(-87.690476943, 41.7591827680001)",18012,12,14542880.1006,20508.9945403,18
43,Curb & Gutter Menu,2701 N LAKEVIEW AVE,2022,3110.24,38081,2701 N LAKEVIEW AVE,census,"c(-87.639316032, 41.9314893150001)",43032,32,17440892.3372,29608.1157954,43
43,Sidewalk Menu,2701 N SHEFFIELD AVE,2016,4915.88,37844,2701 N SHEFFIELD AVE,census,"c(-87.653790863, 41.9309346920001)",43006,6,1091258.8058,4624.23371373,43
22,Alley Resurfacing Menu,2701 S CENTRAL PARK AVE,2016,27496.08,18868,2701 S CENTRAL PARK AVE,census,"c(-87.714729934, 41.8424072440001)",22009,9,1772392.00919,5325.9660397,22
22,Street Lighting,2701 S DRAKE AVE,2011,1000,18661,2701 S DRAKE AVE,google,"c(-87.7132529, 41.8424941)",22009,9,1772392.00919,5325.9660397,22
22,Arterial Street Bump Outs Menu,2701 S KOSTNER AVE,2022,25000,19194,2701 S KOSTNER AVE,census,"c(-87.736763031, 41.9298777710001)",31040,40,4343880.84323,10020.3848222,31
22,Diagonal Parking Menu,2701 S MILLARD AVE,2022,49123.27,19198,2701 S MILLARD AVE,census,"c(-87.7159463959999, 41.8423909100001)",22025,25,2222487.12237,5999.44565066,22
26,Sidewalk Menu,2701 W DIVISION ST,2020,15839.1,23035,2701 W DIVISION ST,census,"c(-87.694550304, 41.9029416920001)",26035,35,915984.457644,4372.42934145,26
1,POD Camera,2702 W Cortez,2007,20000,226,2702 W Cortez,census,"c(-87.694464367, 41.900226263)",01018,18,1094811.09775,4314.36900482,1
11,Sidewalk Menu,2703 S LOWE AVE,2019,1990.4,9190,2703 S LOWE AVE,census,"c(-87.642783714, 41.8444378240001)",11010,10,5950887.20362,15406.741689,11
30,Sidewalk Menu,2704 N MANGO AVE,2020,4897.6,26647,2704 N MANGO AVE,census,"c(-87.769837556, 41.9295596870001)",30010,10,2861009.57842,7292.45596607,30
36,Sidewalk Menu,2704 N RUTHERFORD AVE,2022,3716.2325,32256,2704 N RUTHERFORD AVE,census,"c(-87.7941997839999, 41.9292859760001)",36019,19,2861528.66151,7287.46396565,36
22,Alley Resurfacing Menu,2707 S HOMAN AVE,2017,41807.78,18896,2707 S HOMAN AVE,google,"c(-87.7096317, 41.8423736)",22015,15,10979768.4264,17349.8503576,22
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,2708 W LAWRENCE AVE,2022,40000,35451,2708 W LAWRENCE AVE,census,"c(-87.6966546789999, 41.968556478)",40006,6,1238133.9082,5314.83264694,40
31,Floodlight Menu,2709 N LAMON AVE,2014,600,27409,2709 N LAMON AVE,census,"c(-87.7489889029999, 41.92998343)",31037,37,1576398.81046,5319.71774217,31
7,Sidewalk Menu,2710 E 83RD ST,2019,3231.44,5659,2710 E 83RD ST,google,"c(-87.5582525, 41.744813)",07024,24,2413598.03302,6625.12536295,7
43,Alley Apron Menu,2710 N DAYTON ST,2016,8764.1,37780,2710 N DAYTON ST,census,"c(-87.650176498, 41.931242023)",43046,46,654440.156829,3965.49870129,43
28,2 POD CAMERA RELOCATION - 442 N. Laramie & 2710 W. Harrison,2710 W HARRISON ST,2018,1800,24658,2710 W HARRISON ST,census,"c(-87.693970824, 41.8738191800001)",28029,29,3206062.23285,7522.76410198,28
7,Concrete Alley Menu,2711 E 76TH ST,2016,73500,5538,2711 E 76TH ST,census,"c(-87.557846791, 41.7574129870001)",07014,14,1883293.10538,7849.7394413,7
43,Pavement Markings Menu,2711 N HALSTED ST,2016,1700,37837,2711 N HALSTED ST,google,"c(-87.6487291, 41.9319409)",43022,22,879745.747639,3982.92796598,43
31,Street Light Upgrade,2711 N LAMON AVE,2012,350,27295,2711 N LAMON AVE,census,"c(-87.7489911339999, 41.9300470310001)",31037,37,1576398.81046,5319.71774217,31
30,Sidewalk Menu,2713 N MANGO AVE,2019,3685.07,26574,2713 N MANGO AVE,census,"c(-87.7698259209999, 41.929653956)",30010,10,2861009.57842,7292.45596607,30
12,Alley Apron Menu,2714 W 35TH PL,2018,15843.78,10054,2714 W 35TH PL,google,"c(-87.6930493, 41.8294226)",12002,2,14889558.1918,22742.6503747,12
30,Curb & Gutter Menu,2716 N LINDER AVE,2019,5388.56,26553,2716 N LINDER AVE,census,"c(-87.7637494969999, 41.930033333)",30014,14,1779039.0183,5331.46474326,30
36,Sidewalk Menu,2717 N OAK PARK AVE,2022,4271.835,32257,2717 N OAK PARK AVE,google,"c(-87.7951554, 41.9296533)",36019,19,2861528.66151,7287.46396565,36
10,Street Resurfacing Menu,2718 E 95TH ST,2018,8710,8306,2718 E 95TH ST,census,"c(-87.69066703, 41.719951651)",NA,NA,NA,NA,NA
30,Sidewalk Menu,2718 N MANGO AVE,2016,3807.99,26332,2718 N MANGO AVE,census,"c(-87.769842979, 41.9297241880001)",30010,10,2861009.57842,7292.45596607,30
22,Street Speed Hump Menu,2718 S DRAKE AVE,2020,2350,19106,2718 S DRAKE AVE,google,"c(-87.7137784, 41.842009)",22009,9,1772392.00919,5325.9660397,22
11,Sidewalk Menu,2718 S LOWE AVE,2015,5781,8967,2718 S LOWE AVE,census,"c(-87.642795389, 41.844312739)",11010,10,5950887.20362,15406.741689,11
30,Street Light Upgrade Menu,2719 N MULLIGAN AVE,2017,500,26412,2719 N MULLIGAN AVE,census,"c(-87.7844124279999, 41.929512344)",30029,29,1771077.2596,5320.47208719,30
12,Sidewalk Menu,2719 W 37TH PL,2018,2077.81,10107,2719 W 37TH PL,census,"c(-87.69313821, 41.8255532810001)",12002,2,14889558.1918,22742.6503747,12
1,Guardrail Menu,2719 W CHANAY ST,2008,640,252,2719 W CHANAY ST,census,"c(-87.695938364, 41.919358618)",01034,34,1134721.41495,5720.94319263,1
30,Sidewalk Menu,2720 N AUSTIN AVE,2022,4666.9,26760,2720 N AUSTIN AVE,google,"c(-87.7761988, 41.929981)",30005,5,2203834.785,7315.27557718,30
33,Alley Resurfacing Menu,2720 W AGATITE AVE,2021,53301.12,29320,2720 W AGATITE AVE,census,"c(-87.696097464, 41.9621861540001)",33024,24,2814974.72322,9101.60965872,33
43,Concrete Alley Menu,2721 N DAYTON ST,2019,221426.68,37982,2721 N DAYTON ST,census,"c(-87.650171338, 41.931523371)",43046,46,654440.156829,3965.49870129,43
40,Alley Resurfacing Menu,2721 W LAWRENCE AVE,2017,42626.3,35252,2721 W LAWRENCE AVE,google,"c(-87.697109, 41.968285)",40008,8,1449919.8673,6108.41573988,40
30,Sidewalk Menu,2722 N MANGO AVE,2020,5158,26648,2722 N MANGO AVE,census,"c(-87.769844539, 41.9297711670001)",30010,10,2861009.57842,7292.45596607,30
22,Sidewalk Menu,2722 S KARLOV AVE,2022,2685.68,19207,2722 S KARLOV AVE,census,"c(-87.726924739, 41.841877707)",22020,20,1887674.40263,5993.79406441,22
12,Street Light Upgrade,2722 W 22ND PL,2015,400,9942,2722 W 22ND PL,census,"c(-87.693851848, 41.8510149320001)",12010,10,2306228.99566,9298.19898953,12
30,Curb & Gutter Menu,2723 N MELVINA AVE,2019,1651.96,26555,2723 N MELVINA AVE,census,"c(-87.7807681639999, 41.9296172040001)",30030,30,1324385.42177,4653.05284397,30
1,Street Light Upgrade Menu,2723 W HADDON AVE,2016,5000,698,2723 W HADDON AVE,census,"c(-87.695052473, 41.9020083290001)",01018,18,1094811.09775,4314.36900482,1
12,Chicago Park District,2725 W 41ST ST,2015,250000,9957,2725 W 41ST ST,census,"c(-87.6941068579999, 41.8192824760001)",12013,13,3207301.25239,8164.62150252,12
1,Sidewalk Menu,2726 W CHANAY ST,2022,4456.86,1014,2726 W CHANAY ST,census,"c(-87.695880486, 41.9194276770001)",01034,34,1134721.41495,5720.94319263,1
1,Alley Resurfacing Menu,2726 W CHANAY ST,2019,5571.145,836,2726 W CHANAY ST,census,"c(-87.695880486, 41.9194276770001)",01034,34,1134721.41495,5720.94319263,1
7,Miscellaneous CDOT Projects,2727 E 93RD ST,2021,18925.93,5719,2727 E 93RD ST,census,"c(-87.690210871, 41.7235001700001)",NA,NA,NA,NA,NA
1,Bollard Menu,2727 W CHANAY ST,2006,2142,108,2727 W CHANAY ST,census,"c(-87.6959899939999, 41.919314634)",01034,34,1134721.41495,5720.94319263,1
1,Bollard Menu,2727 W CHANAY ST,2008,1428,246,2727 W CHANAY ST,census,"c(-87.6959899939999, 41.919314634)",01034,34,1134721.41495,5720.94319263,1
1,Alley Resurfacing Menu,2727 W CHANAY ST,2019,8948.81,837,2727 W CHANAY ST,census,"c(-87.6959899939999, 41.919314634)",01034,34,1134721.41495,5720.94319263,1
1,Sidewalk Menu,2727 W HADDON AVE,2019,2797.96,877,2727 W HADDON AVE,census,"c(-87.69513682, 41.902007412)",01018,18,1094811.09775,4314.36900482,1
33,Alley Apron Menu,2729 W BARRY AVE,2017,22000.94,29173,2729 W BARRY AVE,census,"c(-87.696771879, 41.9375755300001)",33019,19,2874832.38513,7593.30174538,33
43,Alley Resurfacing Menu,2732 N KENMORE AVE,2016,50578.26,37787,2732 N KENMORE AVE,census,"c(-87.6551315519999, 41.930997157)",43002,2,1448363.68883,6299.44364187,43
12,Alley Apron Menu,2732 W 36TH ST,2021,10482.29,10257,2732 W 36TH ST,census,"c(-87.694044063, 41.8282904590001)",12002,2,14889558.1918,22742.6503747,12
12,Sidewalk Menu,2733 W 35TH PL,2021,2959.15,10295,2733 W 35TH PL,google,"c(-87.6936461, 41.8289882)",12002,2,14889558.1918,22742.6503747,12
43,Street Light Upgrade,2734 N KENMORE AVE,2015,400,37773,2734 N KENMORE AVE,census,"c(-87.655131927, 41.9310095380001)",43002,2,1448363.68883,6299.44364187,43
43,Alley Apron Menu,2735 N RACINE AVE,2018,25963.17,37902,2735 N RACINE AVE,google,"c(-87.6584407, 41.9317894)",43002,2,1448363.68883,6299.44364187,43
35,Guardrail Menu,2735 W DIVERSEY AV,2007,5080,30529,2735 W DIVERSEY AV,census,"c(-87.696644366, 41.9320909960001)",32043,43,2005787.19924,7818.02334887,32
22,Alley Resurfacing Menu,2736 S PULASKI RD,2017,42991.75,18902,2736 S PULASKI RD,census,"c(-87.726961886, 41.9309500250001)",31040,40,4343880.84323,10020.3848222,31
26,Alley Resurfacing Menu,2736 W AUGUSTA BLVD,2019,12774.46,22949,2736 W AUGUSTA BLVD,census,"c(-87.695996296, 41.8992916400001)",26036,36,1028216.65584,5649.78957368,26
36,Sidewalk Menu,2738 N NEWCASTLE AVE,2019,4301.61,32052,2738 N NEWCASTLE AVE,census,"c(-87.7966618579999, 41.9298004710001)",36001,1,2401312.36517,7309.69478639,36
30,Alley Apron Menu,2741 N MENARD AVE,2018,19324.61,26437,2741 N MENARD AVE,census,"c(-87.77105211, 41.929972649)",30010,10,2861009.57842,7292.45596607,30
33,Chicago Park District,2741 W MONTROSE AVE,2014,13404,29052,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Chicago Park District,2741 W MONTROSE AVE,2015,25000,29107,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park Dog Park Improvements,2741 W MONTROSE AVE,2019,25000,29286,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park Dog Park Improvements,2741 W MONTROSE AVE,2020,25000,29317,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park Effigy Mound - Public Art w/ the American Indian Center,2741 W MONTROSE AVE,2020,25000,29318,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park Exercise Equipment and 4 Benches,2741 W MONTROSE AVE,2021,45000,29354,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park Nature Play Space,2741 W MONTROSE AVE,2021,25000,29355,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park Soccer Pitch Lighting,2741 W MONTROSE AVE,2021,25000,29356,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
33,Horner Park - Exercise Equipment (w/ $45K from 2021),2741 W MONTROSE AVE,2022,30000,29423,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
47,Bollard Menu,2741 W MONTROSE AVE,2018,925.59,41133,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
47,Horner Park - Dog Friendly Area Phase I,2741 W MONTROSE AVE,2018,26100,41142,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
47,Horner Park Dog Park Improvements,2741 W MONTROSE AVE,2019,15000,41185,2741 W MONTROSE AVE,census,"c(-87.6977742449999, 41.961249707)",33023,23,3153091.71162,7424.84247016,33
43,Bollard Menu,2742 N DAYTON ST,2007,714,37225,2742 N DAYTON ST,census,"c(-87.650190575, 41.9316659)",43046,46,654440.156829,3965.49870129,43
32,Alley Resurfacing Menu,2742 N GREENVIEW AVE,2018,11564.52,28463,2742 N GREENVIEW AVE,census,"c(-87.665964183, 41.931729755)",32018,18,1648909.15761,6600.50934101,32
22,Speed Indicator Signs,2742 S KEDZIE AVE,2021,14000,19150,2742 S KEDZIE AVE,census,"c(-87.7049645449999, 41.841883162)",22015,15,10979768.4264,17349.8503576,22
40,Sidewalk Menu,2742 W BALMORAL AVE,2016,617.09,35225,2742 W BALMORAL AVE,census,"c(-87.698090975, 41.9794823820001)",40001,1,1756461.72211,6868.8467685,40
32,Alley Apron Menu,2743 N GREENVIEW AVE,2019,10953.13,28510,2743 N GREENVIEW AVE,census,"c(-87.665950808, 41.9317663780001)",32039,39,1363504.78501,4940.8906678,32
35,Bollard Menu,2743 N HAMLIN AV,2009,714,30669,2743 N HAMLIN AV,census,"c(-87.7220474709999, 41.9306530870001)",31007,7,1280651.87987,6655.26225784,31
30,Bollard Menu,2743 N MONITOR AV,2009,714,25921,2743 N MONITOR AV,census,"c(-87.772267782, 41.9299702440001)",30010,10,2861009.57842,7292.45596607,30
12,Sidewalk Menu,2743 W 35TH PL,2021,2664.44,10296,2743 W 35TH PL,google,"c(-87.6939926, 41.8289952)",12002,2,14889558.1918,22742.6503747,12
32,Alley Apron Menu,2745 N FAIRFIELD AVE,2020,24475.66,28563,2745 N FAIRFIELD AVE,census,"c(-87.696390771, 41.9309661440001)",32043,43,2005787.19924,7818.02334887,32
30,Bollard Menu,2745 N MAJOR AV,2007,1293,25776,2745 N MAJOR AV,census,"c(-87.7686258969999, 41.9300568030001)",30010,10,2861009.57842,7292.45596607,30
30,Bollard Menu,2745 N MARMORA AV,2006,714,25675,2745 N MARMORA AV,census,"c(-87.7734825909999, 41.929982269)",30010,10,2861009.57842,7292.45596607,30
30,Concrete Alley Menu,2745 N MCVICKER AVE,2020,11850.33,26627,2745 N MCVICKER AVE,census,"c(-87.777145231, 41.93042101)",30005,5,2203834.785,7315.27557718,30
30,Alley Apron Menu,2745 N MOBILE AVE,2022,9378.29,26719,2745 N MOBILE AVE,census,"c(-87.783209781, 41.9298366190001)",30029,29,1771077.2596,5320.47208719,30
30,Alley Apron Menu,2745 N MOODY AVE,2015,12294,26224,2745 N MOODY AVE,census,"c(-87.7795596559999, 41.9298870740001)",30030,30,1324385.42177,4653.05284397,30
12,Street Light Upgrade,2746 W 23RD ST,2015,400,9948,2746 W 23RD ST,census,"c(-87.693831158, 41.8501086000001)",12010,10,2306228.99566,9298.19898953,12
12,Alley Apron Menu,2746 W 36TH ST,2022,41215.35,10336,2746 W 36TH ST,census,"c(-87.6942035169999, 41.828286747)",12002,2,14889558.1918,22742.6503747,12
33,Speed Indicator Signs,2747 W WILSON AVE,2022,11000,29440,2747 W WILSON AVE,google,"c(-87.6978812, 41.9646089)",33024,24,2814974.72322,9101.60965872,33
30,Sidewalk Menu,2748 N MARMORA AVE,2019,17246.82,26575,2748 N MARMORA AVE,census,"c(-87.7734985289999, 41.9300301480001)",30005,5,2203834.785,7315.27557718,30
32,Sidewalk Menu,2749 N MOZART ST,2021,3442.71,28623,2749 N MOZART ST,census,"c(-87.6988135889999, 41.931252451)",32026,26,1733308.9375,8634.1253468,32
12,Street Lighting,2749 W 44TH ST,2011,500,9736,2749 W 44TH ST,census,"c(-87.6934530999999, 41.8137528760001)",15006,6,2080877.26177,6979.99185811,15
40,Curb & Gutter Menu,2751 W WINONA ST,2018,8594.38,35315,2751 W WINONA ST,census,"c(-87.697689141, 41.9747548940001)",40005,5,1999124.11477,7366.56525457,40
40,Sidewalk Menu,2752 W AINSLIE ST,2017,3031.57,35276,2752 W AINSLIE ST,google,"c(-87.6984587, 41.970891)",40005,5,1999124.11477,7366.56525457,40
40,Sidewalk Menu,2752 W AINSLIE ST,2017,2132.01,35277,2752 W AINSLIE ST,google,"c(-87.6984587, 41.970891)",40005,5,1999124.11477,7366.56525457,40
17,Sidewalk Menu,2753 W 70TH ST,2018,29439.77,15246,2753 W 70TH ST,census,"c(-87.692785079, 41.766359509)",17017,17,2157252.00005,6985.43634115,17
33,Wilson Mural,2755 W WILSON AVE,2017,5000,29213,2755 W WILSON AVE,google,"c(-87.6981612, 41.9645311)",33024,24,2814974.72322,9101.60965872,33
18,Bollard Menu,2756 W 83 PL,2008,714,15592,2756 W 83 PL,census,"c(-87.691302228, 41.741785597)",18026,26,3243660.52038,8938.27788189,18
30,Sidewalk Menu,2757 N LINDER AVE,2017,10635.45,26387,2757 N LINDER AVE,google,"c(-87.763641, 41.931063)",30014,14,1779039.0183,5331.46474326,30
15,Floodlight Menu,2757 W 44TH ST,2021,950,13797,2757 W 44TH ST,census,"c(-87.693496151, 41.813752408)",15006,6,2080877.26177,6979.99185811,15
27,Miscellaneous-CDOT,2758 W. Maypole Ave.,2007,7370,23331,2758 W. Maypole Ave.,census,"c(-87.6943858819999, 41.8836744640001)",27039,39,1383694.86624,5599.04682202,27
1,Curb & Gutter Menu,2759 N LEAVITT ST,2022,25646.12,1002,2759 N LEAVITT ST,google,"c(-87.6803887, 41.9320517)",01028,28,4360855.45413,10806.4506903,1
22,Diagonal Parking Menu,2759 S HARDING AVE,2019,41805.72,19019,2759 S HARDING AVE,google,"c(-87.7228692, 41.8407167)",22003,3,3119286.92773,8011.62133042,22
22,Alley Apron Menu,2759 S HARDING AVE,2022,16055.79,19169,2759 S HARDING AVE,google,"c(-87.7228692, 41.8407167)",22003,3,3119286.92773,8011.62133042,22
33,Miscellaneous CDOT Projects,2761 W WINDSOR AVE,2018,875,29239,2761 W WINDSOR AVE,census,"c(-87.697986202, 41.9639248710001)",33024,24,2814974.72322,9101.60965872,33
30,POD Camera,2800 N Avers,2007,24000,25845,2800 N Avers,google,"c(-87.7232838, 41.9318402)",30018,18,1979398.97048,6924.59960014,30
44,Sidewalk Menu,2800 N Clark,2012,1404,38367,2800 N Clark,google,"c(-87.6451626, 41.9329126)",44018,18,1220045.89608,4986.78551056,44
30,Alley Speed Hump Menu,2800 N MONITOR AVE,2017,1400,26372,2800 N MONITOR AVE,census,"c(-87.77234466, 41.9317560920001)",30012,12,2200595.50157,6630.21681639,30
36,Speed Indicator Signs,2800 N OAK PARK AVE,2019,25000,32071,2800 N OAK PARK AVE,google,"c(-87.7954618, 41.9308917)",36019,19,2861528.66151,7287.46396565,36
33,Street Bump Outs Menu,2800 N ROCKWELL ST,2015,848,29098,2800 N ROCKWELL ST,census,"c(-87.69278227, 41.9327065910001)",33005,5,3957763.98182,8627.32310917,33
33,Street Bump Outs Menu,2800 N ROCKWELL ST,2016,3980.51,29152,2800 N ROCKWELL ST,census,"c(-87.69278227, 41.9327065910001)",33005,5,3957763.98182,8627.32310917,33
22,Street Traffic Circle Menu,2800 S KOMENSKY AVE,2020,3448.725,19109,2800 S KOMENSKY AVE,census,"c(-87.725669105, 41.840407871)",22024,24,2335627.41883,7338.97220943,22
22,Alley Resurfacing Menu,2800 S SAWYER AVE,2017,42686.08,18897,2800 S SAWYER AVE,google,"c(-87.7064008, 41.8407424)",22015,15,10979768.4264,17349.8503576,22
11,Sidewalk Menu,2800 S WELLS ST,2022,24197.85,9342,2800 S WELLS ST,census,"c(-87.6329962469999, 41.8424972620001)",11036,36,1055842.63494,4506.54204725,11
50,Street Light Upgrade Menu,2800 W COYLE AVE,2018,2200,43424,2800 W COYLE AVE,census,"c(-87.699976813, 42.007562471)",50011,11,1700973.35066,5220.51930826,50
40,Curb & Gutter Menu,2800 W GREGORY ST,2017,16003.89,35262,2800 W GREGORY ST,census,"c(-87.699175826, 41.9822138760001)",40030,30,3021223.93729,7306.83623921,40
35,Floodlight Menu,2801 N KIMBALL AVE,2012,1500,30833,2801 N KIMBALL AVE,census,"c(-87.712323267, 41.9327189360001)",35011,11,1846742.74538,7860.62846876,35
22,Alley Resurfacing Menu,2801 S HAMLIN AVE,2017,41986.08,18904,2801 S HAMLIN AVE,census,"c(-87.719560211, 41.840497215)",22003,3,3119286.92773,8011.62133042,22
11,Curb & Gutter Menu,2801 S QUINN ST,2016,2231.25,9027,2801 S QUINN ST,census,"c(-87.651741374, 41.8422877260001)",11004,4,3965011.94713,9610.17478986,11
40,Curb & Gutter Menu,2802 W CATALPA AVE,2016,14554.6,35214,2802 W CATALPA AVE,census,"c(-87.699332236, 41.9813013620001)",40030,30,3021223.93729,7306.83623921,40
50,Street Light Upgrade Menu,2804 W FARGO AVE,2021,500,43518,2804 W FARGO AVE,census,"c(-87.699853933, 42.0166082910001)",50003,3,2120732.88672,5876.05653391,50
22,Alley Resurfacing Menu,2807 S HOMAN AVE,2017,41935.14,18895,2807 S HOMAN AVE,google,"c(-87.7095629, 41.8405672)",22015,15,10979768.4264,17349.8503576,22
22,Sidewalk Menu,2807 S KENNETH AVE,2017,3202.99,18940,2807 S KENNETH AVE,google,"c(-87.7351718, 41.8401427)",22005,5,3866601.43112,8798.78707757,22
26,Sidewalk Menu,2807 W CORTEZ ST,2017,11608.96,22872,2807 W CORTEZ ST,census,"c(-87.697190749, 41.900490662)",26027,27,9955203.69684,13641.4977359,26
11,Alley Resurfacing Menu,2808 S SHIELDS AVE,2019,13951.105,9163,2808 S SHIELDS AVE,census,"c(-87.6354234299999, 41.8422723360001)",11014,14,1314779.37308,5500.93547003,11
11,Alley Resurfacing Menu,2808 S SHIELDS AVE,2020,11394.48,9218,2808 S SHIELDS AVE,census,"c(-87.6354234299999, 41.8422723360001)",11014,14,1314779.37308,5500.93547003,11
12,Street Lighting,2809 W 38 PL,2007,500,9573,2809 W 38 PL,google,"c(-87.6950308, 41.8234879)",12017,17,3451690.18039,12109.081656,12
11,Concrete Alley Menu,2810 S GRADY CT,2022,23333.3333333333,9330,2810 S GRADY CT,census,"c(-87.6609752159999, 41.8420304690001)",11001,1,6010344.86622,11579.7307851,11
22,Alley Resurfacing Menu,2810 S KOMENSKY AVE,2017,42291.75,18901,2810 S KOMENSKY AVE,census,"c(-87.7256665529999, 41.840329598)",22024,24,2335627.41883,7338.97220943,22
31,Bollard Menu,2812 N KENNETH AV,2008,1428,27011,2812 N KENNETH AV,google,"c(-87.7383231, 41.9321034)",31024,24,1827187.57582,8761.6199852,31
11,Sidewalk Menu,2812 S PRINCETON AVE,2018,4838.8,9133,2812 S PRINCETON AVE,google,"c(-87.6345793, 41.8421138)",11014,14,1314779.37308,5500.93547003,11
18,Sidewalk Menu,2812 W 86TH ST,2018,2265.51,16046,2812 W 86TH ST,google,"c(-87.692876, 41.737157)",18009,9,3345473.09372,8032.78179236,18
18,Sidewalk Menu,2812 W 86TH ST,2019,7100.36,16074,2812 W 86TH ST,google,"c(-87.692876, 41.737157)",18009,9,3345473.09372,8032.78179236,18
35,Bollard Menu,2813 N ALBANY AV,2007,514,30521,2813 N ALBANY AV,google,"c(-87.7047357, 41.9325323)",33026,26,1313352.96672,6885.05149928,33
33,Alley Apron Menu,2813 N CAMPBELL AVE,2017,12728.79,29176,2813 N CAMPBELL AVE,google,"c(-87.6901521, 41.9324236)",33005,5,3957763.98182,8627.32310917,33
33,Alley Apron Menu,2813 N FRANCISCO AVE,2017,11544.55,29175,2813 N FRANCISCO AVE,google,"c(-87.7000893, 41.9325792)",33014,14,1705855.9032,6345.49194935,33
31,Bollard Menu,2813 N KENNETH AV,2008,714,27012,2813 N KENNETH AV,google,"c(-87.7377703, 41.9321115)",31024,24,1827187.57582,8761.6199852,31
31,Bollard Menu,2813 N KILBOURN AV,2007,714,26938,2813 N KILBOURN AV,google,"c(-87.7389417, 41.9320833)",31024,24,1827187.57582,8761.6199852,31
12,Street Lighting,2813 W 38 PL,2007,500,9574,2813 W 38 PL,census,"c(-87.695569851, 41.823675613)",12012,12,3772903.16588,8409.78860333,12
33,Street Light Upgrade,2814 N CALIFORNIA AVE,2015,1200,29102,2814 N CALIFORNIA AVE,google,"c(-87.6979164, 41.9326286)",33014,14,1705855.9032,6345.49194935,33
33,Alley Apron Menu,2814 N CAMPBELL AVE,2017,11950.81,29170,2814 N CAMPBELL AVE,google,"c(-87.6903732, 41.9326228)",33005,5,3957763.98182,8627.32310917,33
