ward,type,location,year,est_cost,id,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
34,Miscellaneous Other,1720 w Montvale,2012,955,29930,census,"c(-87.6648323909999, 41.688134946)",34019,19,10237489.0792,22409.5511739,34
49,Miscellaneous Other,1780 W LUNT AVE,2015,6000,42693,census,"c(-87.6757770149999, 42.008962207)",49003,3,2809435.0047,6717.33370003,49
49,Miscellaneous Other,1781 W LUNT AVE,2015,6000,42693,census,"c(-87.67497167, 42.008964539)",49003,3,2809435.0047,6717.33370003,49
25,Miscellaneous Other,18 th Street,2013,69300,21895,google,"c(-87.6809008, 41.8575972)",25009,9,2754447.27515,6962.3087658,25
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,1820 W GRANVILLE AVE,2022,40000,35451,google,"c(-87.6763356, 41.9946123)",40035,35,3213971.16711,8244.17021655,40
29,Alley Resurfacing Menu,1837 NNATOMA AVE,2022,22075.835,25543,google,"c(-87.7909663, 41.9138129)",29043,43,4616501.63528,9440.5809599,29
1,Alley Resurfacing Menu,1900 N MOZARTST,2022,12807.105,990,google,"c(-87.6984587, 41.9157861)",01001,1,1705170.83255,5225.75886698,1
29,Alley Resurfacing Menu,1900 N OAKPARK AVE,2022,21333.83,25544,census,"c(-87.7949671229999, 41.914594294)",29001,1,2316784.54109,7975.74262147,29
1,Alley Resurfacing Menu,1927 W RACE AVE,2021,18755.92,949,census,"c(-87.675224159, 41.8915704010001)",01039,39,1445475.79591,5674.70868357,1
25,Miscellaneous CDOT Projects,1942 S MAY ST,2021,660,22226,census,"c(-87.654789218, 41.8557158190001)",25023,23,3877360.98125,10596.8817899,25
43,Alley Resurfacing Menu,1944 N MAUD AVE,2022,5892.83,38070,census,"c(-87.656077387, 41.916719926)",43010,10,1664934.06793,5841.40294726,43
1,2 LPR on Existing Cameras: 1933 N Milwaukee; 1955 N Damen,1955 N DAMEN AVE,2021,10971,943,census,"c(-87.67759871, 41.9173401)",32031,31,1876745.05685,6485.72779731,32
28,Street Light Upgrade Menu,201 S WHIPPLE ST,2021,625,24774,census,"c(-87.702369824, 41.878354222)",28032,32,3502315.22042,7974.81698362,28
25,Miscellaneous CDOT Projects,2030 S BLUE ISLAND AVE,2022,660,22278,census,"c(-87.663887632, 41.854668669)",25007,7,4670310.85588,13519.0153413,25
49,Alley Resurfacing Menu,2050 W BIRCHWOODAVE,2022,29439.1,43021,google,"c(-87.6825002, 42.0181208)",49024,24,1174095.91114,4642.41974053,49
29,Sidewalk Menu,2056 N NEVA AVE,2022,12616.335,25573,census,"c(-87.804216549, 41.9174379130001)",29023,23,3355361.16876,8966.546467,29
43,POD Camera,2100 N Howe,2008,24000,37352,google,"c(-87.644717, 41.9200491)",43009,9,1309071.49652,5937.14243066,43
36,Sidewalk Menu,2105 N MERRIMAC AVE,2021,7650.61,32167,census,"c(-87.78162121, 41.918575311)",36002,2,2425130.92568,8674.51344989,36
43,Alley Resurfacing Menu,2113 N CLIFTONAVE,2022,18228.34,38068,google,"c(-87.6568264, 41.9203493)",43030,30,1745563.97054,5287.22746695,43
36,Sidewalk Menu,2186 N MERRIMAC AVE,2021,7650.61,32167,census,"c(-87.781692413, 41.9204144)",36002,2,2425130.92568,8674.51344989,36
36,Alley Apron Menu,2201 N NATCHEZ AVE,2021,11380.155,32131,census,"c(-87.787775137, 41.920053791)",36004,4,4669009.58104,11990.6782886,36
36,Sidewalk Menu,2203 N MOBILE AVE,2022,15306.275,32245,census,"c(-87.782908828, 41.9207011660001)",36004,4,4669009.58104,11990.6782886,36
36,Alley Resurfacing Menu,2208 N MERRIMAC AVE,2021,10935.67,32134,census,"c(-87.781708639, 41.920951491)",36004,4,4669009.58104,11990.6782886,36
36,Sidewalk Menu,2215 N MOBILE AVE,2021,3973.18,32171,census,"c(-87.782911386, 41.920783032)",36004,4,4669009.58104,11990.6782886,36
32,Alley Resurfacing Menu,2219 N SEELEY AVE,2021,9633.46333333333,28605,census,"c(-87.6789941819999, 41.921854351)",32037,37,8232626.42769,14546.5223291,32
36,Alley Resurfacing Menu,2235 N KEATINGAVE,2022,23096.295,32205,google,"c(-87.7447465, 41.9217192)",36011,11,2407027.01299,7960.27976999,36
36,Sidewalk Menu,2245 N KEATING AVE,2021,3881.74333333333,32172,census,"c(-87.745005238, 41.921438009)",36011,11,2407027.01299,7960.27976999,36
36,Sidewalk Menu,2246 N KEATING AVE,2021,3881.74333333333,32172,census,"c(-87.745020659, 41.921469115)",36011,11,2407027.01299,7960.27976999,36
22,Alley Resurfacing Menu,2257 S DRAKE AVE,2022,15529.735,19183,census,"c(-87.713729251, 41.850379193)",22018,18,1718803.28163,7700.38989538,22
2,Sidewalk Menu,230 ELAKE SHORE DR,2021,10623.155,2426,google,"c(-87.6211458, 41.9006338)",02023,23,1356555.76996,5471.91462347,2
36,Sidewalk Menu,2300 N OAK PARK AVE,2022,1720.038,32254,census,"c(-87.795175381, 41.9212674950001)",36003,3,2449960.23701,6967.29645705,36
31,Alley Resurfacing Menu,2300 N TRIPP AVE,2022,27015.33,27748,census,"c(-87.7328408659999, 41.9226873970001)",31022,22,1800223.73976,6738.24579835,31
32,Alley Resurfacing Menu,2300 W NELSON ST,2021,14557.45,28602,census,"c(-87.6856095099999, 41.9367561760001)",32009,9,2757210.9377,9464.53760639,32
36,Sidewalk Menu,2312 N OAK PARK AVE,2022,1720.038,32254,census,"c(-87.7951831459999, 41.921573376)",36003,3,2449960.23701,6967.29645705,36
31,Floodlight Menu,2314 N LOCKWOOD AVE,2022,950,27761,census,"c(-87.7585626329999, 41.9225258720001)",36025,25,5239983.93695,9761.06925228,36
36,Sidewalk Menu,2350 N OAK PARK AVE,2022,1720.038,32254,census,"c(-87.795213825, 41.9225008780001)",36003,3,2449960.23701,6967.29645705,36
24,Miscellaneous-BOE,24 th Ward DSS office-1817 S Pulaski,2007,31850,20761,google,"c(-87.7245389, 41.85645)",24031,31,1614956.45102,6107.34712119,24
28,Alley Speed Hump Menu,240- 268 N HAMLIN BLVD,2016,1400,24567,census,"c(-87.720910358, 41.8846476590001)",28013,13,2220852.44805,5994.87358573,28
33,Street Speed Hump Menu,2400 W FLETCHER ST,2022,1175,29451,census,"c(-87.6887753249999, 41.9385168200001)",33005,5,3957763.98182,8627.32310917,33
31,Street Light Upgrade Menu,2415 N LOTUS AVE,2022,500,27778,census,"c(-87.762314137, 41.924760328)",30019,19,2455713.05838,6681.06556152,30
7,Street Light Upgrade Menu,2424 E 103RD ST,2021,500,5745,census,"c(-87.565370803, 41.70809546)",07044,44,1948606.41044,5933.87744568,7
31,Street Light Upgrade Menu,2434 N LOTUS AVE,2022,500,27777,census,"c(-87.762337138, 41.924994343)",30019,19,2455713.05838,6681.06556152,30
47,Street Light Upgrade Menu,2447 W CUYLER AVE,2021,500,41322,census,"c(-87.678464332, 41.9550954100001)",47012,12,1523750.41124,6108.33012082,47
31,Street Light Upgrade Menu,2457 N LOTUS AVE,2022,500,27778,census,"c(-87.7623317219999, 41.9252523690001)",30019,19,2455713.05838,6681.06556152,30
31,Street Light Upgrade Menu,2458 N LOTUS AVE,2022,500,27777,census,"c(-87.762347343, 41.9252754890001)",30019,19,2455713.05838,6681.06556152,30
26,Miscellaneous - Paseo Boriqua Medalli,2459 W Division,2005,8250,22358,census,"c(-87.688798622, 41.902995837)",26020,20,1093507.83677,4369.75474668,26
31,Street Resurfacing Menu,2500 N LARAMIE AVE,2021,7252.48375,27730,census,"c(-87.756222669, 41.926038755)",31032,32,1227702.80965,5680.82709575,31
14,Sidewalk Menu,2503 W 50TH ST,2022,2067.95,12964,census,"c(-87.686900854, 41.8029291660001)",14017,17,2382852.85592,6549.65629088,14
30,Sidewalk Menu,2519 N MANGO AVE,2022,5770.555,26756,census,"c(-87.769707169, 41.9261777510001)",30006,6,2201626.25898,5969.71165683,30
31,Street Light Upgrade Menu,2524 N LARAMIE AVE,2021,750,27729,census,"c(-87.7562474979999, 41.926743107)",31032,32,1227702.80965,5680.82709575,31
43,In-Road State Law Stop For Pedestrians Sign Menu,2530 N CLARK ST,2022,175,38089,census,"c(-87.642253118, 41.928560557)",43040,40,870488.653607,3731.36546554,43
28,Sidewalk Menu,2534 W LEXINGTON ST,2021,20374.675,24770,census,"c(-87.6898091469999, 41.872041575)",28011,11,5596357.98831,10883.2439211,28
31,Street Light Upgrade Menu,2556 N LARAMIE AVE,2021,750,27729,census,"c(-87.756268314, 41.9272461150001)",31032,32,1227702.80965,5680.82709575,31
31,Street Light Upgrade Menu,2557 N LOCKWOOD AVE,2021,750,27729,census,"c(-87.758716659, 41.927343831)",31032,32,1227702.80965,5680.82709575,31
26,Alley Resurfacing Menu,2600 W EVERGREEN AVE,2021,20045.37,23085,census,"c(-87.692217326, 41.9057178240001)",26026,26,662487.677371,3323.92001391,26
26,Alley Speed Hump Menu,2606 W DIVISIONST,2021,1400,23092,google,"c(-87.6923378, 41.9031848)",26035,35,915984.457644,4372.42934145,26
10,Sidewalk Menu,2617 E 108TH ST,2021,1455.29666666667,8426,census,"c(-87.560625575, 41.699146564)",10013,13,202740181.099,70199.4802524,10
11,Concrete Alley Menu,2628 S THROOP ST,2021,33500,9265,census,"c(-87.655579503, 41.845178886)",11001,1,6010344.86622,11579.7307851,11
30,Sidewalk Menu,2629 N MANGO AVE,2022,4471.96333333333,26758,census,"c(-87.769776639, 41.92816227)",30010,10,2861009.57842,7292.45596607,30
30,Sidewalk Menu,2635 N MANGO AVE,2022,4471.96333333333,26758,census,"c(-87.7697797439999, 41.9282561280001)",30010,10,2861009.57842,7292.45596607,30
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,2650 W PETERSON AVE,2022,40000,35451,census,"c(-87.695843989, 41.9904707250001)",40010,10,2387612.49779,6596.30564642,40
43,In-Road State Law Stop For Pedestrians Sign Menu,2717 N CLARK ST,2022,350,38090,census,"c(-87.6445101309999, 41.93176199)",43042,42,844897.941939,5020.8204438,43
36,Sidewalk Menu,2723 N RUTHERFORD AVE,2022,3716.2325,32256,census,"c(-87.794193891, 41.9295678030001)",36019,19,2861528.66151,7287.46396565,36
31,Street Resurfacing Menu,2724 N RIDGEWAY AVE,2021,7252.48375,27730,census,"c(-87.720823148, 41.9304482430001)",31007,7,1280651.87987,6655.26225784,31
36,Sidewalk Menu,2726 NRUTHERFORD AVE,2022,3716.2325,32256,google,"c(-87.7944965, 41.9299529)",36019,19,2861528.66151,7287.46396565,36
26,Miscellaneous - Paseo Boriqua Medalli,2733 W Division,2005,8250,22358,census,"c(-87.695625687, 41.9029311950001)",26035,35,915984.457644,4372.42934145,26
26,Miscellaneous - Paseo Boriqua Medalli,2739 W Division,2005,8250,22358,census,"c(-87.695827325, 41.902929274)",26035,35,915984.457644,4372.42934145,26
36,Sidewalk Menu,2744 N OAK PARK AVE,2022,4271.835,32257,census,"c(-87.795442808, 41.9298978)",36019,19,2861528.66151,7287.46396565,36
43,Alley Resurfacing Menu,2748 NMILDRED AVE,2022,24217.74,38071,google,"c(-87.6516418, 41.9322937)",43006,6,1091258.8058,4624.23371373,43
36,Sidewalk Menu,2749 N RUTHERFORD AVE,2022,3716.2325,32256,census,"c(-87.7942058529999, 41.9299745340001)",36019,19,2861528.66151,7287.46396565,36
22,Alley Apron Menu,2800 SMILLARD AVE,2022,10223.4,19175,google,"c(-87.7161778, 41.8405557)",22007,7,2188943.62492,8115.73843359,22
22,Sidewalk Menu,2800 SRIDGEWAY AVE,2022,5740.82,19221,google,"c(-87.718611, 41.840509)",22003,3,3119286.92773,8011.62133042,22
31,Alley Resurfacing Menu,2813 N KOSTNERAVE,2022,23782.625,27746,google,"c(-87.7367988, 41.9321688)",31024,24,1827187.57582,8761.6199852,31
44,Alley Resurfacing Menu,2817 NCLARK ST,2021,4736.0575,38846,google,"c(-87.6450851, 41.9334738)",44018,18,1220045.89608,4986.78551056,44
12,Alley Apron Menu,2817 W 40TH ST,2021,8111.32,10259,census,"c(-87.695610877, 41.8209975570001)",12020,20,3192216.46868,9135.05150789,12
31,Street Light Upgrade Menu,2821 N LONG AVE,2022,500,27779,census,"c(-87.761349421, 41.932106807)",31019,19,1334537.48541,4672.4567505000005,31
31,Street Light Upgrade Menu,2825 N LONG AVE,2022,500,27779,census,"c(-87.761351812, 41.9321617910001)",31019,19,1334537.48541,4672.4567505000005,31
11,Street Speed Hump Menu,2830 S LOCK ST,2021,1175,9307,census,"c(-87.6624855109999, 41.841579761)",11001,1,6010344.86622,11579.7307851,11
18,Speed Indicator Signs,2832 W 83RD ST,2021,12500,16163,census,"c(-87.6937776139999, 41.742642549)",18035,35,2118114.36766,8285.18119318,18
31,Street Light Upgrade Menu,2845 N LONG AVE,2022,500,27779,census,"c(-87.761365656, 41.9324841990001)",31019,19,1334537.48541,4672.4567505000005,31
44,Alley Resurfacing Menu,2848 NSHEFFIELD AVE,2021,14166.11,38854,google,"c(-87.654194, 41.9340672)",44040,40,1309317.66934,4626.16326483,44
36,Sidewalk Menu,2850 N NEW ENGLAND AVE,2021,4581.94,32174,census,"c(-87.797956044, 41.9320055310001)",36029,29,3339787.00924,7968.54771577,36
11,Street Light Upgrade Menu,2855 S HILLOCKAVE,2022,4833.33333333333,9367,google,"c(-87.6610174, 41.842811)",11001,1,6010344.86622,11579.7307851,11
11,Street Light Upgrade Menu,2879 S HILLOCK AVE,2022,4833.33333333333,9367,census,"c(-87.6614675389999, 41.8428299540001)",11001,1,6010344.86622,11579.7307851,11
36,Concrete Alley Menu,2900 NNEWCASTLE AVE,2022,4561.14,32223,google,"c(-87.7970607, 41.9328242)",36029,29,3339787.00924,7968.54771577,36
31,Alley Resurfacing Menu,2901 N KILPATRICK AVE,2021,16176.27,27700,census,"c(-87.744211768, 41.9335370320001)",31030,30,2211134.09745,6554.26097595,31
14,Sidewalk Menu,2924 W 55TH ST,2021,4924.675,12940,census,"c(-87.697214736, 41.7936369270001)",14021,21,2211980.9226700002,5986.30612389,14
31,Street Resurfacing Menu,2930 N PARKSIDE AVE,2021,7252.48375,27730,census,"c(-87.7675503409999, 41.933704543)",31015,15,1985425.29739,5983.12248337,31
31,Sidewalk Menu,2938 N KEATING AVE,2022,5588.01,27763,census,"c(-87.745433388, 41.9341150820001)",31030,30,2211134.09745,6554.26097595,31
11,Street Light Upgrade Menu,2955 S UNION AVE,2021,500,9288,census,"c(-87.643909057, 41.8407310760001)",11016,16,1532832.68132,4957.87487219,11
31,Street Light Upgrade Menu,2959 N LONG AVE,2022,500,27780,census,"c(-87.761443781, 41.9346366340001)",31025,25,1332907.22061,4666.62923661,31
26,Miscellaneous-BOE,3 KING FESTIVAL,2006,85000,22422,google,"c(-87.745966, 41.8912096)",28038,38,3838890.14884,9216.87792167,28
15,Sidewalk Menu,3000 W 47TH ST,2021,27521.68,13802,census,"c(-87.699188692, 41.8082074070001)",15012,12,2645932.2046,7309.17709201,15
31,Alley Resurfacing Menu,3001 N LINDER AVE,2022,20670.305,27747,census,"c(-87.763913289, 41.9351088020001)",31031,31,1330709.36029,4659.61142893,31
11,Alley Speed Hump Menu,3001 S CANAL ST,2022,466.666666666667,9322,census,"c(-87.637788756, 41.839868353)",11018,18,2050008.50898,5741.17554515,11
33,Miscellaneous CDOT Projects,3001 W IRVING PARK RD,2022,2600,29426,census,"c(-87.703224819, 41.9539471240001)",33006,6,1986155.2929,5983.50690088,33
36,Concrete Alley Menu,3007 NNEW ENGLAND AVE,2021,20268.9,32154,google,"c(-87.7977634, 41.9347867)",36029,29,3339787.00924,7968.54771577,36
31,Street Light Upgrade Menu,3010 N LAVERGNE AVE,2021,750,27729,census,"c(-87.751667003, 41.9354704610001)",31035,35,1744639.65737,5997.73965853,31
44,Alley Apron Menu,3014 N CLIFTON AVE,2021,9603.075,38839,census,"c(-87.657658226, 41.9369604090001)",44027,27,1347715.59267,5635.7386567,44
31,Street Resurfacing Menu,3016 N PARKSIDE AVE,2021,7252.48375,27730,census,"c(-87.767606487, 41.9353097210001)",31015,15,1985425.29739,5983.12248337,31
28,Street Light Upgrade Menu,3023 W FIFTH AVE,2021,500,24775,census,"c(-87.701968219, 41.879496186)",28032,32,3502315.22042,7974.81698362,28
36,Sidewalk Menu,3024 N NEWCASTLE AVE,2021,2809.58,32177,census,"c(-87.7968310859999, 41.9350297570001)",36029,29,3339787.00924,7968.54771577,36
36,Miscellaneous CDOT,3030 N MOBILE AVE,2015,16666.6666666667,31857,google,"c(-87.7834044, 41.935833)",36024,24,3567266.29883,10020.290604,36
31,Street Light Upgrade Menu,3038 N CENTRAL AVE,2021,750,27729,census,"c(-87.766401673, 41.9356832130001)",31015,15,1985425.29739,5983.12248337,31
