ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_locate,precinct_locate,ward_precinct_locate,intersect_length,geometry
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,1,1,01001,204.69168012349562,"c(-87.6869220333185, -87.6893763588977, 41.8988338462443, 41.8986071327129)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,1,4,01004,405.48807732961995,"c(-87.6722985635163, -87.6771606974933, 41.900183544063, 41.8997349974101)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,1,47,01047,203.25065152058832,"c(-87.6698613961288, -87.6722985635163, 41.9004083006318, 41.900183544063)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26,28,26028,258.5874643876346,"c(-87.7010304326742, -87.7041308582197, 41.8975298752061, 41.8972430793038)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,28,23,28023,1266.3480229125414,"c(-87.7260752744854, -87.7412572311953, 41.895210716766, 41.8938021325983)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,27,3,27003,916.3820018081608,"c(-87.7041308582197, -87.7151179189359, 41.8972430793038, 41.8962260608615)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,32,17,32017,203.4616371896217,"c(-87.6771606974933, -87.6796003433364, 41.8997349974101, 41.8995098530108)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26,48,26048,205.22257782103662,"c(-87.6942993936759, -87.6967600323485, 41.8981522145929, 41.8979247554905)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,27,12,27012,487.499132760556,"c(-87.6421863657925, -87.6480323790627, 41.902956777463, 41.9024190132563)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,27,25,27025,158.63296376868288,"c(-87.7241734129937, -87.7260752744854, 41.8953870264404, 41.895210716766)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,29,47,29047,336.34551937644983,"c(-87.770963468058, -87.7749953761642, 41.8910400193099, 41.8906645202947)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,29,35,29035,212.58802208497926,"c(-87.7652674227294, -87.7678158481013, 41.8915702546109, 41.8913330618522)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,29,44,29044,262.574632461254,"c(-87.7678158481013, -87.770963468058, 41.8913330618522, 41.8910400193099)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26,1,26001,410.587341895531,"c(-87.6893763588977, -87.6942993936759, 41.8986071327129, 41.8981522145929)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,27,22,27022,405.9172513986634,"c(-87.7151179189359, -87.7199845956782, 41.8962260608615, 41.8957752313751)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,27,19,27019,349.38329362153445,"c(-87.7199845956782, -87.7241734129937, 41.8957752313751, 41.8953870264404)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,32,1,32001,203.60541895195897,"c(-87.6796003433364, -87.6820416959994, 41.8995098530108, 41.8992844978166)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,32,26,32026,407.0176579044029,"c(-87.6820416959994, -87.6869220333185, 41.8992844978166, 41.8988338462443)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26,44,26044,356.16407770020095,"c(-87.6967600323485, -87.7010304326742, 41.8979247554905, 41.8975298752061)"
