ward,type,location,year,est_cost,id,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,total_length,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,intersect_length,geometry
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26003,3,1250181.86546,5324.15270623,26,204.7392689128031,"c(-87.686921689216, -87.689376585402, 41.8988338780263, 41.8986071117875)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26001,1,778395.869233,4673.16066639,26,205.2854157226411,"c(-87.6918380696201, -87.6942994792591, 41.8983796828808, 41.8981522066827)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26010,10,1621457.25272,7688.56212629,26,173.82061732414962,"c(-87.7019117403715, -87.7039958216747, 41.8974483611308, 41.8972555722597)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26021,21,1332538.89249,4558.76398677,26,326.23121130969673,"c(-87.6980002465443, -87.7019117403715, 41.897810090744, 41.8974483611308)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26033,33,977394.41094,4993.50585469,26,206.2561445495245,"c(-87.6955272241414, -87.6980002465443, 41.8980387218791, 41.897810090744)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26036,36,1028216.65584,5649.78957368,26,102.39639117670227,"c(-87.6942994792591, -87.6955272241414, 41.8981522066827, 41.8980387218791)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,26039,39,864032.391342,4664.03318429,26,205.29017336137713,"c(-87.689376585402, -87.6918380696201, 41.8986071117875, 41.8983796828808)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,28023,23,10035043.6243,17352.9341225,28,185.15067923505734,"c(-87.7388250850788, -87.741044773778, 41.8940279261617, 41.893821858653)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,01003,3,1373280.65152,5484.82600711,1,507.307924474688,"c(-87.6674183893726, -87.6735015016946, 41.9006335424055, 41.9000725890367)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,01010,10,1385419.68321,5628.89051643,1,44.56000627121717,"c(-87.6668840667251, -87.6674183893726, 41.9006827990866, 41.9006335424055)"
42,Miscellaneous-CDOT,Milwaukee & Orleans & Randolph,2007,29000,36417,Milwaukee & Orleans,Milwaukee & Randolph,41.9033908,-87.6374657,google,41.8843359,-87.8427153,google,17120.481204020765,01012,12,1764935.25853,6633.86263687,1,203.72033207684524,"c(-87.68447899314, -87.686921689216, 41.8990594638113, 41.8988338780263)"
