ward,type,location,year,est_cost,id,lat,long,query
24,Miscellaneous CDOT Projects,1608 S TRUMBULL AVE,2022,150,21295,41.85880997800007,-87.71155153599994,census
24,Miscellaneous CDOT Projects,1610 S TRUMBULL AVE,2022,150,21295,41.85879442400005,-87.71155119799994,census
8,Alley Speed Hump Menu,1614 E 83RD PL,2021,350,6519,41.74331668000008,-87.58434834999997,census
12,Alley Resurfacing Menu,1614 W 33RD ST,2021,7005.23,10275,41.834177820000036,-87.66628417299995,census
26,Alley Resurfacing Menu,1615 N KEYSTONEAVE,2021,30151.565,23077,41.9105902,-87.7273711,google
26,Alley Resurfacing Menu,1615 N LOWELL AVE,2021,25154.14,23079,41.910544379000044,-87.73488885799998,census
29,Alley Resurfacing Menu,1645 N OAKPARK AVE,2021,21679.305,25451,41.91012148800007,-87.79481555999996,census
16,Pole Painting,16TH WARD,2007,291600,14017,41.779493,-87.6535081,google
16,Street Lighting,16TH WARD,2007,588200,14018,41.779493,-87.6535081,google
26,Alley Resurfacing Menu,1700 N PULASKI RD,2021,16466.03,23082,41.91179918900008,-87.72639941699998,census
15,Alley Resurfacing Menu,1714 W 47TH ST,2022,25913.175,13821,41.80858285900007,-87.66800138599996,census
34,Miscellaneous Other,1720 w Montvale,2012,955,29930,41.68813494600005,-87.66483239099995,census
49,Miscellaneous Other,1780 W LUNT AVE,2015,6000,42693,42.008962207000025,-87.67577701499994,census
49,Miscellaneous Other,1781 W LUNT AVE,2015,6000,42693,42.00896453900003,-87.67497166999999,census
25,Miscellaneous Other,18 th Street,2013,69300,21895,41.8575972,-87.6809008,google
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,1820 W GRANVILLE AVE,2022,40000,35451,41.9946123,-87.6763356,google
3,Speed Indicator Signs,1829 S STATE ST,2022,5500,3196,NA,NA,census
29,Alley Resurfacing Menu,1837 NNATOMA AVE,2022,22075.835,25543,41.9138129,-87.7909663,google
1,Alley Resurfacing Menu,1900 N MOZARTST,2022,12807.105,990,41.9157861,-87.6984587,google
29,Alley Resurfacing Menu,1900 N OAKPARK AVE,2022,21333.83,25544,41.91459429400004,-87.79496712299994,census
1,Alley Resurfacing Menu,1927 W RACE AVE,2021,18755.92,949,41.89157040100008,-87.67522415899998,census
25,Miscellaneous CDOT Projects,1942 S MAY ST,2021,660,22226,41.85571581900007,-87.65478921799996,census
43,Alley Resurfacing Menu,1944 N MAUD AVE,2022,5892.83,38070,41.91671992600004,-87.65607738699998,census
1,2 LPR on Existing Cameras: 1933 N Milwaukee; 1955 N Damen,1955 N DAMEN AVE,2021,10971,943,41.91734010000005,-87.67759870999998,census
28,Street Light Upgrade Menu,201 S WHIPPLE ST,2021,625,24774,41.87835422200004,-87.70236982399996,census
25,Miscellaneous CDOT Projects,2030 S BLUE ISLAND AVE,2022,660,22278,41.854668669000034,-87.66388763199996,census
3,Alley Resurfacing Menu,2036,2020,10976.615,3060,NA,NA,google
49,Alley Resurfacing Menu,2050 W BIRCHWOODAVE,2022,29439.1,43021,42.0181208,-87.6825002,google
29,Sidewalk Menu,2056 N NEVA AVE,2022,12616.335,25573,41.91743791300007,-87.80421654899999,census
43,POD Camera,2100 N Howe,2008,24000,37352,41.9200491,-87.644717,google
36,Sidewalk Menu,2105 N MERRIMAC AVE,2021,7650.61,32167,41.91857531100004,-87.78162120999997,census
43,Alley Resurfacing Menu,2113 N CLIFTONAVE,2022,18228.34,38068,41.9203493,-87.6568264,google
36,Sidewalk Menu,2186 N MERRIMAC AVE,2021,7650.61,32167,41.92041440000003,-87.78169241299997,census
36,Alley Apron Menu,2201 N NATCHEZ AVE,2021,11380.155,32131,41.92005379100004,-87.78777513699998,census
36,Sidewalk Menu,2203 N MOBILE AVE,2022,15306.275,32245,41.92070116600007,-87.78290882799996,census
36,Alley Resurfacing Menu,2208 N MERRIMAC AVE,2021,10935.67,32134,41.92095149100004,-87.78170863899999,census
36,Sidewalk Menu,2215 N MOBILE AVE,2021,3973.18,32171,41.92078303200003,-87.78291138599997,census
32,Alley Resurfacing Menu,2219 N SEELEY AVE,2021,9633.46333333333,28605,41.921854351000036,-87.67899418199994,census
36,Alley Resurfacing Menu,2235 N KEATINGAVE,2022,23096.295,32205,41.9217192,-87.7447465,google
36,Sidewalk Menu,2245 N KEATING AVE,2021,3881.74333333333,32172,41.92143800900004,-87.74500523799998,census
36,Sidewalk Menu,2246 N KEATING AVE,2021,3881.74333333333,32172,41.921469115000036,-87.74502065899998,census
22,Alley Resurfacing Menu,2257 S DRAKE AVE,2022,15529.735,19183,41.85037919300004,-87.71372925099996,census
2,Sidewalk Menu,230 ELAKE SHORE DR,2021,10623.155,2426,41.9006338,-87.6211458,google
36,Sidewalk Menu,2300 N OAK PARK AVE,2022,1720.038,32254,41.92126749500005,-87.79517538099998,census
31,Alley Resurfacing Menu,2300 N TRIPP AVE,2022,27015.33,27748,41.92268739700006,-87.73284086599995,census
32,Alley Resurfacing Menu,2300 W NELSON ST,2021,14557.45,28602,41.936756176000074,-87.68560950999995,census
36,Sidewalk Menu,2312 N OAK PARK AVE,2022,1720.038,32254,41.921573376000026,-87.79518314599994,census
31,Floodlight Menu,2314 N LOCKWOOD AVE,2022,950,27761,41.92252587200005,-87.75856263299994,census
36,Sidewalk Menu,2350 N OAK PARK AVE,2022,1720.038,32254,41.92250087800005,-87.79521382499996,census
24,Miscellaneous-BOE,24 th Ward DSS office-1817 S Pulaski,2007,31850,20761,41.85645,-87.7245389,google
28,Alley Speed Hump Menu,240- 268 N HAMLIN BLVD,2016,1400,24567,41.88464765900005,-87.72091035799997,census
33,Street Speed Hump Menu,2400 W FLETCHER ST,2022,1175,29451,41.938516820000075,-87.68877532499994,census
31,Street Light Upgrade Menu,2415 N LOTUS AVE,2022,500,27778,41.92476032800005,-87.76231413699998,census
7,Street Light Upgrade Menu,2424 E 103RD ST,2021,500,5745,41.70809546000004,-87.56537080299995,census
31,Street Light Upgrade Menu,2434 N LOTUS AVE,2022,500,27777,41.92499434300004,-87.76233713799996,census
47,Street Light Upgrade Menu,2447 W CUYLER AVE,2021,500,41322,41.95509541000007,-87.67846433199998,census
31,Street Light Upgrade Menu,2457 N LOTUS AVE,2022,500,27778,41.92525236900008,-87.76233172199994,census
31,Street Light Upgrade Menu,2458 N LOTUS AVE,2022,500,27777,41.92527548900006,-87.76234734299999,census
26,Miscellaneous - Paseo Boriqua Medalli,2459 W Division,2005,8250,22358,41.90299583700005,-87.68879862199998,census
31,Street Resurfacing Menu,2500 N LARAMIE AVE,2021,7252.48375,27730,41.926038755000036,-87.75622266899995,census
14,Sidewalk Menu,2503 W 50TH ST,2022,2067.95,12964,41.80292916600007,-87.68690085399999,census
30,Sidewalk Menu,2519 N MANGO AVE,2022,5770.555,26756,41.92617775100007,-87.76970716899996,census
31,Street Light Upgrade Menu,2524 N LARAMIE AVE,2021,750,27729,41.92674310700005,-87.75624749799994,census
43,In-Road State Law Stop For Pedestrians Sign Menu,2530 N CLARK ST,2022,175,38089,41.928560557000026,-87.64225311799999,census
28,Sidewalk Menu,2534 W LEXINGTON ST,2021,20374.675,24770,41.872041575000026,-87.68980914699995,census
31,Street Light Upgrade Menu,2556 N LARAMIE AVE,2021,750,27729,41.92724611500006,-87.75626831399995,census
31,Street Light Upgrade Menu,2557 N LOCKWOOD AVE,2021,750,27729,41.92734383100003,-87.75871665899996,census
26,Alley Resurfacing Menu,2600 W EVERGREEN AVE,2021,20045.37,23085,41.90571782400008,-87.69221732599999,census
26,Alley Speed Hump Menu,2606 W DIVISIONST,2021,1400,23092,41.9031848,-87.6923378,google
10,Sidewalk Menu,2617 E 108TH ST,2021,1455.29666666667,8426,41.699146564000046,-87.56062557499996,census
11,Concrete Alley Menu,2628 S THROOP ST,2021,33500,9265,41.84517888600004,-87.65557950299996,census
30,Sidewalk Menu,2629 N MANGO AVE,2022,4471.96333333333,26758,41.92816227000003,-87.76977663899999,census
30,Sidewalk Menu,2635 N MANGO AVE,2022,4471.96333333333,26758,41.928256128000044,-87.76977974399995,census
40,Emerson; Green Briar; Gross; Mather Park - Basketball Court Upgrades; Green Briar; River Park - Pickleball Striping,2650 W PETERSON AVE,2022,40000,35451,41.99047072500008,-87.69584398899997,census
43,In-Road State Law Stop For Pedestrians Sign Menu,2717 N CLARK ST,2022,350,38090,41.93176199000004,-87.64451013099995,census
36,Sidewalk Menu,2723 N RUTHERFORD AVE,2022,3716.2325,32256,41.929567803000054,-87.79419389099996,census
31,Street Resurfacing Menu,2724 N RIDGEWAY AVE,2021,7252.48375,27730,41.93044824300006,-87.72082314799997,census
36,Sidewalk Menu,2726 NRUTHERFORD AVE,2022,3716.2325,32256,41.9299529,-87.7944965,google
26,Miscellaneous - Paseo Boriqua Medalli,2733 W Division,2005,8250,22358,41.902931195000065,-87.69562568699996,census
26,Miscellaneous - Paseo Boriqua Medalli,2739 W Division,2005,8250,22358,41.90292927400003,-87.69582732499998,census
36,Sidewalk Menu,2744 N OAK PARK AVE,2022,4271.835,32257,41.92989780000005,-87.79544280799996,census
43,Alley Resurfacing Menu,2748 NMILDRED AVE,2022,24217.74,38071,41.9322937,-87.6516418,google
36,Sidewalk Menu,2749 N RUTHERFORD AVE,2022,3716.2325,32256,41.92997453400005,-87.79420585299994,census
22,Alley Apron Menu,2800 SMILLARD AVE,2022,10223.4,19175,41.8405557,-87.7161778,google
22,Sidewalk Menu,2800 SRIDGEWAY AVE,2022,5740.82,19221,41.840509,-87.718611,google
31,Alley Resurfacing Menu,2813 N KOSTNERAVE,2022,23782.625,27746,41.9321688,-87.7367988,google
44,Alley Resurfacing Menu,2817 NCLARK ST,2021,4736.0575,38846,41.9334738,-87.6450851,google
12,Alley Apron Menu,2817 W 40TH ST,2021,8111.32,10259,41.820997557000055,-87.69561087699998,census
31,Street Light Upgrade Menu,2821 N LONG AVE,2022,500,27779,41.932106807000025,-87.76134942099998,census
31,Street Light Upgrade Menu,2825 N LONG AVE,2022,500,27779,41.932161791000055,-87.76135181199999,census
11,Street Speed Hump Menu,2830 S LOCK ST,2021,1175,9307,41.84157976100005,-87.66248551099994,census
18,Speed Indicator Signs,2832 W 83RD ST,2021,12500,16163,41.74264254900004,-87.69377761399994,census
31,Street Light Upgrade Menu,2845 N LONG AVE,2022,500,27779,41.932484199000044,-87.76136565599995,census
44,Alley Resurfacing Menu,2848 NSHEFFIELD AVE,2021,14166.11,38854,41.9340672,-87.654194,google
36,Sidewalk Menu,2850 N NEW ENGLAND AVE,2021,4581.94,32174,41.93200553100007,-87.79795604399999,census
11,Street Light Upgrade Menu,2855 S HILLOCKAVE,2022,4833.33333333333,9367,41.842811,-87.6610174,google
11,Street Light Upgrade Menu,2879 S HILLOCK AVE,2022,4833.33333333333,9367,41.84282995400008,-87.66146753899994,census
36,Concrete Alley Menu,2900 NNEWCASTLE AVE,2022,4561.14,32223,41.9328242,-87.7970607,google
31,Alley Resurfacing Menu,2901 N KILPATRICK AVE,2021,16176.27,27700,41.93353703200006,-87.74421176799996,census
14,Sidewalk Menu,2924 W 55TH ST,2021,4924.675,12940,41.79363692700008,-87.69721473599998,census
31,Street Resurfacing Menu,2930 N PARKSIDE AVE,2021,7252.48375,27730,41.93370454300003,-87.76755034099995,census
31,Sidewalk Menu,2938 N KEATING AVE,2022,5588.01,27763,41.93411508200006,-87.74543338799998,census
11,Street Light Upgrade Menu,2955 S UNION AVE,2021,500,9288,41.840731076000054,-87.64390905699997,census
31,Street Light Upgrade Menu,2959 N LONG AVE,2022,500,27780,41.93463663400007,-87.76144378099997,census
26,Miscellaneous-BOE,3 KING FESTIVAL,2006,85000,22422,41.8912096,-87.745966,google
15,Sidewalk Menu,3000 W 47TH ST,2021,27521.68,13802,41.808207407000054,-87.69918869199995,census
31,Alley Resurfacing Menu,3001 N LINDER AVE,2022,20670.305,27747,41.93510880200006,-87.76391328899996,census
11,Alley Speed Hump Menu,3001 S CANAL ST,2022,466.666666666667,9322,41.83986835300004,-87.63778875599996,census
33,Miscellaneous CDOT Projects,3001 W IRVING PARK RD,2022,2600,29426,41.95394712400008,-87.70322481899996,census
36,Concrete Alley Menu,3007 NNEW ENGLAND AVE,2021,20268.9,32154,41.9347867,-87.7977634,google
31,Street Light Upgrade Menu,3010 N LAVERGNE AVE,2021,750,27729,41.93547046100008,-87.75166700299997,census
44,Alley Apron Menu,3014 N CLIFTON AVE,2021,9603.075,38839,41.93696040900005,-87.65765822599997,census
31,Street Resurfacing Menu,3016 N PARKSIDE AVE,2021,7252.48375,27730,41.93530972100007,-87.76760648699997,census
28,Street Light Upgrade Menu,3023 W FIFTH AVE,2021,500,24775,41.87949618600004,-87.70196821899998,census
36,Sidewalk Menu,3024 N NEWCASTLE AVE,2021,2809.58,32177,41.93502975700005,-87.79683108599994,census
36,Miscellaneous CDOT,3030 N MOBILE AVE,2015,16666.6666666667,31857,41.935833,-87.7834044,google
31,Street Light Upgrade Menu,3038 N CENTRAL AVE,2021,750,27729,41.93568321300006,-87.76640167299996,census
31,Street Light Upgrade Menu,3058 N CENTRAL AVE,2021,750,27729,41.93600257400004,-87.76641337099994,census
31,Street Resurfacing Menu,3108 N LOCKWOOD AVE,2021,7252.48375,27730,41.93702286800004,-87.75907491199996,census
29,Street Light Upgrade Menu,3108 N SAYRE AVE,2021,250,25506,41.936704863000045,-87.80117867499996,census
12,2 LPR on Existing Cameras: 1586 W 33rd St; 3109 S Archer Ave,3109 S ARCHER AVE,2021,10971,10256,41.83750864600006,-87.66601992899996,census
44,Alley Apron Menu,3114 N CLIFTON AVE,2021,8447.15,38840,41.93831690800005,-87.65770281799996,census
31,Street Light Upgrade Menu,3116 N LOTUS AVE,2021,750,27729,41.93709718500003,-87.76277448999997,census
31,Street Light Upgrade Menu,3122 N CENTRAL AVE,2021,500,27728,41.937292038000066,-87.76645862899994,census
44,Alley Apron Menu,3147 N CAMBRIDGE AVE,2021,5994.52,38841,41.939100187000065,-87.64314813699997,census
22,Sidewalk Menu,3201 SKEDVALE AVE,2022,5683.31,19222,41.8349028,-87.7276701,google
31,Street Light Upgrade Menu,3237 N LAVERGNE AVE,2021,750,27729,41.93985708300005,-87.75181633599999,census
28,Sidewalk Menu,324 S LEAMINGTON AVE,2021,7993.305,24767,41.875953131000074,-87.75339503199996,census
11,Alley Resurfacing Menu,3242 S CANAL ST,2021,19374.915,9259,41.835535622000066,-87.63769547199996,census
36,Alley Resurfacing Menu,3258 N NORMANDY AVE,2021,9387.26666666667,32132,41.93944452900007,-87.79330852799995,census
22,Street Bump Outs Menu,3259 S PULASKI RD,2022,8962.43,19223,41.83402065700005,-87.72427922699995,census
11,Alley Resurfacing Menu,329 W 24TH PL,2021,8599.44,9258,41.84819374500006,-87.63575172599997,census
31,Street Light Upgrade Menu,3303 N LAMON AVE,2021,750,27729,41.94072270100003,-87.74938678899997,census
31,Street Light Upgrade Menu,3305 N LAVERGNE AVE,2021,750,27729,41.94075559400005,-87.75184036599995,census
36,Curb & Gutter Menu,3307 N NEWLAND AVE,2021,3924.855,32162,41.94016835200006,-87.79946427399994,census
39,Eugene Fields and Hollywood Parks Tennis Courts Rehabilitation,3312 W THORNDALE AVE,2022,32500,34659,41.988487692000035,-87.71220324699999,census
26,Alley Resurfacing Menu,3400 W EVERGREEN AVE,2021,19547.65,23084,41.905522466000036,-87.71181065299999,census
12,Street Light Upgrade Menu,3401 W 38TH ST,2021,500,10316,41.824324223000076,-87.70944936999996,census
26,Alley Resurfacing Menu,3410 W PIERCE AVE,2021,18468.11,23089,41.909133680000025,-87.71228685299997,census
36,Miscellaneous CDOT,3425 N MAJOR AVE,2015,16666.6666666667,31857,41.942783785000074,-87.76907455099996,census
11,Concrete Alley Menu,3439 S LOWE AVE,2021,47483.35,9266,41.83232819400007,-87.64247799199995,census
11,Concrete Alley Menu,3439 S LOWE AVE,2022,143017,9331,41.83232819400007,-87.64247799199995,census
31,Speed Indicator Signs,3451 N LARAMIE AVE,2022,6192.80333333333,27776,41.94377437000003,-87.75684332499998,census
44,Sidewalk Menu,3478 N CLARK ST,2021,24712.62,38875,41.945253852000064,-87.65495194999994,census
25,POD Camera,348 W 24 thPl,2007,24000,21513,41.8481874,-87.6365591,google
26,Alley Resurfacing Menu,3500 W ARMITAGEAVE,2022,16728.465,23152,41.9175273,-87.7137128,google
26,Alley Resurfacing Menu,3501 W LEMOYNE ST,2022,39467.915,23156,41.908193555000025,-87.71449369399994,census
30,Sidewalk Menu,3504 N KILPATRICK AVE,2022,4204.4575,26769,41.944822980000026,-87.74394750299996,census
30,Sidewalk Menu,3505 N KILPATRICK AVE,2022,4204.4575,26769,41.944823203000055,-87.74393276499995,census
44,Alley Apron Menu,3515 N LAKEWOOD AVE,2021,6039.24,38842,41.94577574200008,-87.661550568999985,census
12,Street Light Upgrade Menu,3517 S MARSHFIELD AVE,2021,500,10316,41.82966664600008,-87.66670594999994,census
30,Sidewalk Menu,3525 NKILPATRICK AVE,2022,4204.4575,26769,41.9454703,-87.7436634,google
12,Sidewalk Menu,3532 S WOOD ST,2021,1834.11333333333,10303,41.82949261700003,-87.67038070799998,census
39,POD Camera,3532 W Lawrence,2007,12000,34082,41.968369523000035,-87.71726482799994,census
12,Sidewalk Menu,3533 S WOOD ST,2021,1834.11333333333,10303,41.82964190900003,-87.67036964699997,census
31,Street Light Upgrade Menu,3535 N LAVERGNE AVE,2021,750,27729,41.94460053800003,-87.75194987199995,census
33,Miscellaneous CDOT Projects,3537 W LAWRENCE AVE,2022,2600,29426,41.968358857000055,-87.71724674699999,census
12,POD Camera,3558 S California,2007,18000,9588,41.82892618400007,-87.69479315499996,census
30,Alley Resurfacing Menu,3570 N MILWAUKEEAVE,2021,36430.66,26670,41.945506,-87.7345854,google
36,Miscellaneous-Other,36 th ward library,2007,500000,31585,41.9257801,-87.7899672,google
23,Alley Speed Hump Menu,3607 W 61ST ST,2022,1050,20564,41.78244184300007,-87.71344367999995,census
44,Alley Apron Menu,3614 N WILTON AVE,2021,10950.52,38843,41.94799019800007,-87.65314678799996,census
26,Alley Resurfacing Menu,3615 WDICKENS AVE,2022,23288.325,23153,41.9191056,-87.7174288,google
47,Street Light Upgrade Menu,3634 N WESTERN AVE,2021,500,41323,41.947418705000075,-87.68828125999994,census
23,Alley Apron Menu,3655 W 60TH PL,2022,9899.33333333333,20552,41.783333378000066,-87.71450241599996,census
23,Alley Apron Menu,3700 W 58TH ST,2022,7864.03,20555,41.78787323100005,-87.71585304399997,census
23,Alley Apron Menu,3701 W 60TH PL,2021,8208.67,20478,41.783315765000054,-87.71572071899999,census
12,Sidewalk Menu,3712 S HONORE ST,2021,3269.635,10307,41.82644961300008,-87.67151467999997,census
44,Alley Resurfacing Menu,3717 N RACINE AVE,2021,9723.235,38852,41.94954868600007,-87.65921716499997,census
44,Curb & Gutter Menu,3719 NLAKEWOOD AVE,2021,11836.46,38868,41.9495796,-87.6613624,google
31,Alley Apron Menu,3725 WWRIGHTWOOD AVE,2021,5888.08,27694,41.9279952,-87.7205836,google
33,Street Light Upgrade Menu,3738 N SACRAMENTO AVE,2021,500,29374,41.949234251000064,-87.70300368699998,census
24,Alley Resurfacing Menu,3752 W 16TH ST,2022,15895.61,21277,41.85893197100006,-87.71951919399999,census
23,Alley Apron Menu,3759 W 57TH PL,2022,9174.38333333333,20557,41.788754803000074,-87.71709560999994,census
35,Floodlight Menu,3812 W WILSON AVE,2021,950,31259,41.96465722000005,-87.72314395099994,census
12,POD Camera,3825 California,2008,15000,9631,41.8842052,-87.6963543,google
12,Alley Resurfacing Menu,3844 S HONORE ST,2022,3474.725,10348,41.82432067900004,-87.67145010299998,census
26,Sidewalk Menu,3901 W LE MOYNE ST,2022,3742.22666666667,23180,41.908092269000065,-87.72408305099998,census
35,Street Light Upgrade Menu,3933 N BERNARD ST,2021,500,31299,41.95249175600003,-87.71406470299996,census
33,Bollard Menu,4 .00,2006,2586,28749,NA,NA,google
43,Curb & Gutter Menu,400 W DEMING PL,2021,13727.88,38041,41.92966527400006,-87.63937576399996,census
47,Street Bump Outs Menu,4015 N ROCKWELL ST,2021,6654.7275,41312,41.95428683100005,-87.69322407599998,census
26,Alley Resurfacing Menu,4016 W KAMERLINGAVE,2021,22575.86,23087,41.9053734,-87.7268195,google
47,Street Bump Outs Menu,4045 N ROCKWELL ST,2021,6654.7275,41312,41.95486135500005,-87.69324131599996,census
4,Chicago Park District,41 st St. Beach House,2009,290000,3348,41.8193398,-87.6841534,google
4,Chicago Park District,41 st Street Beach House,2010,250000,3375,41.8193398,-87.6841534,google
24,5 POD Camera + 5 LPR Existing Cameras: Various Locations,4100 W ARTHINGTON ST,2021,33552.8,21217,41.86999470100005,-87.72841682699999,census
26,Alley Resurfacing Menu,4101 W NORTH AVE,2022,18309.04,23157,41.90982951400008,-87.72911887799995,census
47,Street Bump Outs Menu,4121 N ROCKWELL ST,2021,6654.7275,41312,41.95629235500007,-87.69328197799996,census
18,Speed Indicator Signs,4139 W 79TH ST,2021,14000,16166,41.74943815700004,-87.72527942899995,census
46,Speed Indicator Signs,4140 N MARINE DR,2022,7000,40288,41.95756886800007,-87.64625510399998,census
12,POD Camera,4200 California,2008,15000,9631,41.7913459,-87.7280098,google
35,Miscellaneous CDOT Projects,4201 N ST LOUIS AVE,2021,660,31283,41.95760777800007,-87.71546955999997,census
22,Street Speed Hump Menu,4210 W 25TH ST,2021,1175,19162,41.846016761000044,-87.72973528599994,census
