year,Ward,type,Candidate,votepct,inc_2019,inc_2015,inc_2011,cycle,ward,beauty,non-Beauty,vs_paakes
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,1,250000,1069999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,2,113000,1206999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,3,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,4,0,1312635.43,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,5,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,6,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,7,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,8,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,9,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,10,0,1319979,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,11,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,12,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,13,240000,1075396.02,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,14,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,15,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,16,0,1264045.06,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,17,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,18,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,19,50000,1269999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,20,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,21,0,1306441.49,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,22,40000,1279999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,23,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,24,125000,1194999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,25,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,26,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,27,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,28,0,1319999.99,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,29,80000,1225525.17,0.8007728415127129
2019,3,General,Pat Dowell,0.690139775144333,1,1,1,2019,30,0,1319999.99,0.8007728415127129
